Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
111,15.08644426,15.1914942,15.85032029,15.87533085,13.14883051
114,15.00991494,15.12354376,15.79459816,15.81872893,13.17979159
117,14.93865188,15.05118814,15.73584126,15.75909222,13.09679185
120,14.86303191,14.98407596,15.68739209,15.71166276,13.07692448
123,14.79244758,14.91419265,15.63107267,15.64088629,12.91938706
126,14.72091364,14.84378135,15.56725851,15.58734266,12.97670362
129,14.65101867,14.77905324,15.5095165,15.53178106,12.85419539
132,14.58076431,14.70767088,15.46263341,15.46600472,12.85103059
135,14.51393958,14.64221508,15.40229313,15.41618604,12.85442371
138,14.44244989,14.57276038,15.35815128,15.36029674,12.80321599
141,14.37608665,14.50622036,15.29694084,15.30499494,12.75544461
144,14.31072628,14.44215853,15.24844476,15.25073082,12.7358017
147,14.23996696,14.37645969,15.19627075,15.19074912,12.6927328
150,14.17472238,14.30927861,15.14546193,15.13621246,12.64435199
153,14.11065865,14.24584522,15.08619794,15.07835536,12.62431572
156,14.04365546,14.18527344,15.03531731,15.02525928,12.56637377
159,13.97982763,14.12081015,14.98392053,14.9731593,12.5889856
162,13.91312916,14.05509317,14.93084597,14.91635725,12.54554646
165,13.85034222,13.99346386,14.87708021,14.86610832,12.49909145
168,13.78863984,13.9355557,14.83033736,14.81082037,12.49374413
171,13.72473098,13.86981782,14.77337416,14.76067951,12.4559701
174,13.65955902,13.8105825,14.72287874,14.7087777,12.40111741
177,13.60230731,13.74749279,14.67714454,14.65822619,12.37199716
180,13.5406941,13.69202863,14.62145256,14.60404658,12.37566331
183,13.47988372,13.63051236,14.57679701,14.5540465,12.35479352
186,13.41818415,13.57295812,14.52327078,14.50248971,12.33159185
189,13.35833713,13.51528784,14.47877032,14.450711,12.31410502
192,13.3006704,13.45659912,14.42980516,14.39946073,12.25617269
195,13.24307396,13.39780479,14.37901,14.3518692,12.2482878
198,13.18737681,13.34031248,14.3328231,14.30082702,12.21147252
201,13.12789036,13.28376885,14.28037608,14.25702983,12.17167407
204,13.06815604,13.22794041,14.23529058,14.20171325,12.1642833
207,13.0144466,13.17088928,14.18775037,14.15631821,12.13297106
210,12.95888004,13.11735858,14.13701528,14.10403665,12.0930559
213,12.90206796,13.06363682,14.09336771,14.05680341,12.05055903
216,12.84560311,13.00846966,14.0419805,14.01002237,12.04080504
219,12.79294707,12.95299962,13.99690154,13.96308048,12.01089009
222,12.73886753,12.89930408,13.95559944,13.9122444,11.96830926
225,12.68217417,12.84527888,13.9059507,13.86507305,11.93497536
228,12.62849777,12.7938492,13.86138887,13.81712806,11.92078695
231,12.57286502,12.74196904,13.81175001,13.77061859,11.88083729
234,12.52227219,12.68986761,13.76736532,13.72145348,11.85555758
237,12.46932607,12.63691877,13.7255781,13.68012385,11.84112963
240,12.41776777,12.58486602,13.67966113,13.62991877,11.80981788
243,12.36605414,12.53592598,13.63608329,13.58616582,11.78917224
246,12.31733312,12.48537535,13.59121215,13.54396688,11.75735826
249,12.26385345,12.43456374,13.54558659,13.50101351,11.731887
252,12.21276338,12.38680938,13.50526844,13.45418933,11.70620468
255,12.16465889,12.33522353,13.46269752,13.40965412,11.68266716
258,12.1155836,12.28615278,13.41449083,13.36503355,11.64629058
261,12.0661384,12.2364169,13.37626751,13.32283883,11.62723478
264,12.0187509,12.19057311,13.33750862,13.27912444,11.60110835
267,11.97222318,12.14172403,13.29356461,13.23623564,11.59112336
270,11.92208462,12.09351547,13.25444313,13.19430293,11.56800683
273,11.87478445,12.04825078,13.21236107,13.151835,11.54400392
276,11.82780686,11.99940857,13.17271106,13.10902237,11.51125904
279,11.78442142,11.95113706,13.13036296,13.06569094,11.50472833
282,11.7381769,11.90987964,13.09383709,13.02701819,11.48339345
285,11.69191476,11.86561784,13.05290234,12.98552545,11.45832564
288,11.6478805,11.81768133,13.00891662,12.94568789,11.42012261
291,11.60540153,11.77186254,12.97172814,12.90596958,11.40736649
294,11.55863804,11.72994498,12.93214902,12.86350938,11.38748033
297,11.51587853,11.68447804,12.89358954,12.82329888,11.34918444
300,11.47177733,11.63928578,12.85235434,12.7828376,11.34010916
303,11.42623832,11.59746832,12.81610838,12.74539758,11.30367052
306,11.383884,11.55226625,12.77784911,12.70657856,11.29423522
309,11.34380803,11.50899136,12.74070712,12.66824069,11.27586634
312,11.30053891,11.4682847,12.70620802,12.62924402,11.25293927
315,11.25754114,11.4262684,12.66610885,12.59332775,11.23790427
318,11.21723886,11.38220514,12.62863588,12.5543445,11.21481501
321,11.17514313,11.34088013,12.59467498,12.51627278,11.18842146
324,11.13504784,11.30001021,12.55509154,12.48389417,11.17730639
327,11.09733981,11.26054389,12.52151427,12.44378493,11.16088873
330,11.05428578,11.22019247,12.48423698,12.40404519,11.1395723
333,11.01682737,11.18171363,12.44876856,12.37005344,11.11462004
336,10.97718523,11.14129685,12.41592772,12.3362294,11.10929586
339,10.935747,11.0993645,12.37805333,12.29818037,11.08710521
342,10.90060307,11.06133864,12.34345802,12.26277759,11.06077662
345,10.86273374,11.02223807,12.30891053,12.22805525,11.05792648
348,10.82628554,10.98382106,12.27469528,12.19264613,11.03433234
351,10.78619161,10.94351431,12.24238313,12.15422087,11.01731344
354,10.74971033,10.9080854,12.20501057,12.12317388,10.98718434
357,10.71035049,10.87079611,12.16985257,12.08977358,10.97796493
360,10.6752941,10.834823,12.13692042,12.05452319,10.95930572
363,10.63680705,10.79342088,12.10404282,12.02185709,10.93016099
366,10.60387164,10.75907882,12.07414833,11.98433884,10.90298287
369,10.56496831,10.71961185,12.04095656,11.95427498,10.89986852
372,10.53013442,10.68551395,12.00702101,11.91763486,10.87978356
375,10.49590276,10.64818989,11.97133326,11.88872918,10.86008977
378,10.45798966,10.61266338,11.93870916,11.85526264,10.84608857
381,10.42147183,10.57565228,11.9102926,11.82196302,10.82572759
384,10.38953341,10.53939242,11.87749985,11.7905414,10.80288593
387,10.3564181,10.50399479,11.84605652,11.75593671,10.78609782
390,10.32239207,10.46929786,11.81418886,11.72631863,10.77777518
393,10.28898277,10.43493899,11.78220659,11.69539112,10.75567152
396,10.25615345,10.40049263,11.75568568,11.66117685,10.73397135
399,10.22031256,10.36475544,11.72186529,11.63129233,10.71308733
402,10.18747977,10.33262382,11.69102247,11.60375265,10.69710934
405,10.15300317,10.29273737,11.65705655,11.56704738,10.67513265
408,10.12200511,10.26321316,11.62871657,11.54047007,10.66046597
411,10.08760849,10.2265674,11.59862779,11.50612585,10.63856495
414,10.05770279,10.19266058,11.56898901,11.47971997,10.62112239
417,10.02653191,10.15923733,11.54057561,11.44533513,10.6047991
