Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
156,15.41024505,15.45857161,16.4086072,16.34151513,14.06761369
159,15.33940456,15.38586604,16.34847687,16.27716423,13.98702672
162,15.27271957,15.32034078,16.30094575,16.22284428,13.94564587
165,15.20475436,15.25149533,16.23756798,16.16245829,13.87060652
168,15.13924457,15.18598464,16.18646206,16.10783557,13.87272654
171,15.07139403,15.12115771,16.13227559,16.04799219,13.82659746
174,15.00558895,15.05306565,16.07017919,15.99426421,13.78081768
177,14.93792941,14.99269604,16.01457456,15.93524855,13.73667413
180,14.87235222,14.92742314,15.95733792,15.87709863,13.71716049
183,14.8094113,14.86233605,15.90352264,15.82430475,13.6692519
186,14.74771049,14.79701222,15.84581182,15.76849478,13.59646368
189,14.67889536,14.73420927,15.79206484,15.71116117,13.56672633
192,14.61889418,14.67156976,15.73327448,15.655749,13.52147417
195,14.5536932,14.60787981,15.68075039,15.60285047,13.49071876
198,14.49141788,14.54475956,15.62911532,15.54420584,13.45520626
201,14.430915,14.48468712,15.57155278,15.48977508,13.4276989
204,14.36701335,14.42513513,15.51972068,15.43812003,13.39368406
207,14.3084364,14.36307622,15.46777115,15.38089601,13.33087097
210,14.24766725,14.30325539,15.4130303,15.3316433,13.31521701
213,14.1917604,14.24344485,15.36090186,15.27951616,13.29486258
216,14.13194789,14.18528392,15.30841972,15.22766832,13.25077553
219,14.07070104,14.12691911,15.25661228,15.17642673,13.21499627
222,14.01227032,14.06553418,15.20698371,15.12183857,13.16796043
225,13.95430714,14.00792165,15.15480847,15.06551478,13.1468879
228,13.89778565,13.95284067,15.10554634,15.01871575,13.07459893
231,13.83862269,13.89075876,15.05599765,14.96966072,13.09516507
234,13.78296957,13.83710864,15.00760412,14.91908808,13.07460132
237,13.72672374,13.78103773,14.95886475,14.86852126,13.02950829
240,13.67383918,13.7249884,14.90655814,14.81698974,13.00594545
243,13.61932879,13.66773523,14.85958559,14.76868211,12.95309538
246,13.56775491,13.61446948,14.80764184,14.72208475,12.95238766
249,13.51051895,13.55888862,14.76167466,14.67239146,12.91302098
252,13.45649663,13.5049007,14.71371644,14.62461028,12.87854878
255,13.40338797,13.45087733,14.66656557,14.57397951,12.85739631
258,13.35307977,13.39624483,14.62235646,14.53022877,12.8216816
261,13.3036256,13.34394285,14.57137165,14.4810738,12.79701025
264,13.24897571,13.28908142,14.52514077,14.43241417,12.76046576
267,13.1993423,13.23674093,14.47913976,14.38638305,12.70542554
270,13.14835994,13.18653127,14.43123785,14.3422095,12.70207569
273,13.09444969,13.13170653,14.38897962,14.29246332,12.66201933
276,13.04735857,13.07871011,14.34085212,14.24838047,12.63169694
279,12.99807402,13.03009292,14.30026905,14.2069898,12.6002004
282,12.94586527,12.9789381,14.25767489,14.15725948,12.57867677
285,12.89943237,12.93039593,14.20869052,14.11386691,12.54595484
288,12.84658862,12.87920356,14.16423032,14.06975946,12.51886577
291,12.79940926,12.82640052,14.11861423,14.02667221,12.48800235
294,12.75128378,12.77616597,14.07458987,13.98015678,12.45823651
297,12.70430921,12.72826979,14.03433221,13.93933773,12.42857533
300,12.65317027,12.67928175,13.98669597,13.88945287,12.40489285
303,12.6116412,12.6303372,13.94771731,13.85202215,12.37714174
306,12.56137099,12.58069928,13.90540824,13.81119076,12.35305417
309,12.51704325,12.53433304,13.86310074,13.76255666,12.3179008
312,12.46988523,12.48861559,13.82179571,13.72199105,12.29144249
315,12.42310756,12.44071316,13.77633619,13.67934511,12.26926452
318,12.37889613,12.39242519,13.73945322,13.63919778,12.23883341
321,12.33270272,12.34503683,13.69549109,13.59688537,12.21192918
324,12.2907509,12.30062509,13.65408443,13.55551509,12.18396391
327,12.2444299,12.2543391,13.61681472,13.51346574,12.16016777
330,12.19944045,12.20896298,13.5728256,13.47345017,12.12645866
333,12.15512549,12.16211796,13.53264053,13.43221174,12.10561642
336,12.11399238,12.11683853,13.49099963,13.39169683,12.08127944
339,12.06770457,12.07385357,13.45316399,13.35238602,12.0534038
342,12.02375417,12.03095718,13.41538051,13.30806588,12.03056318
345,11.97972617,11.98713991,13.37348052,13.2723534,12.00035118
348,11.93745002,11.94444205,13.33919377,13.22935066,11.97848134
351,11.89422142,11.90065118,13.29862495,13.19370408,11.95114105
354,11.85043272,11.85615971,13.25590961,13.15387209,11.9259384
357,11.81164421,11.81635223,13.21875454,13.1145743,11.90622736
360,11.76915078,11.7719615,13.18046241,13.07898963,11.88351386
363,11.73102655,11.73190489,13.14369225,13.04432946,11.86653948
366,11.68490099,11.6892575,13.10545639,13.00609468,11.83678487
369,11.64728241,11.65062003,13.06891232,12.96751125,11.82990548
372,11.60531911,11.61030789,13.02959886,12.93255909,11.77676703
375,11.56317099,11.56851103,12.99435877,12.8949301,11.7690849
378,11.52255023,11.53024401,12.95596989,12.85945943,11.71999445
381,11.48552468,11.48861621,12.91857734,12.82259511,11.7103004
384,11.4451236,11.44881231,12.88167344,12.78558685,11.67109112
387,11.40745087,11.40738061,12.84591833,12.75148449,11.68232086
390,11.3668044,11.36933375,12.80975305,12.71405504,11.64276393
