Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
120,15.46614035,15.5958235,16.30359384,16.39267369,13.61953271
123,15.38825165,15.52232669,16.24221888,16.33488562,13.57033412
126,15.31109688,15.44467814,16.18224901,16.27948759,13.53533521
129,15.23197688,15.37192094,16.11732038,16.2220856,13.44272469
132,15.15257619,15.29610439,16.07167047,16.15617079,13.41176812
135,15.07941298,15.22494278,16.00636737,16.09568558,13.3946019
138,15.00185731,15.15185034,15.9445153,16.04238029,13.35543261
141,14.92454303,15.08255088,15.89285759,15.98769571,13.29169009
144,14.85138699,15.01238102,15.83188888,15.92338366,13.29230919
147,14.78003705,14.9414846,15.76916984,15.86604478,13.24482577
150,14.70984601,14.87178237,15.70993183,15.80388538,13.21196083
153,14.63196054,14.797234,15.65984689,15.74774895,13.07586894
156,14.56270907,14.7316715,15.60306145,15.69173592,13.1303676
159,14.49676103,14.66505196,15.55049357,15.63385531,12.97359356
162,14.42380336,14.59655641,15.48556774,15.57649019,13.00607208
165,14.35785932,14.53574271,15.43718872,15.52223595,13.02580807
168,14.28670955,14.46265536,15.37635703,15.45908139,12.92477653
171,14.21777378,14.39793537,15.32090476,15.40499947,12.87038337
174,14.15320966,14.33305129,15.26437315,15.35082289,12.85023347
177,14.08720881,14.26859388,15.21009673,15.3017503,12.82267175
180,14.0186202,14.20798292,15.16149769,15.23975021,12.7783115
183,13.95419488,14.13891303,15.0951865,15.18574678,12.78431053
186,13.88726425,14.07802575,15.05664808,15.12712577,12.68331478
189,13.82369184,14.00759398,15.00564291,15.07365771,12.62725985
192,13.76406446,13.95038924,14.94254884,15.01534697,12.64735293
195,13.69620011,13.89060727,14.90043935,14.96015445,12.63556205
198,13.63418563,13.82669077,14.8474365,14.90609388,12.57700607
201,13.57013317,13.76839994,14.79162786,14.85837244,12.61457359
204,13.51008187,13.69970087,14.73954164,14.80188955,12.48081482
207,13.44762192,13.64444212,14.69587022,14.74689419,12.51037156
210,13.3867159,13.58398768,14.64211269,14.69197539,12.45000829
213,13.32533612,13.52805297,14.58633661,14.64200054,12.41124055
216,13.264811,13.46506335,14.53630085,14.59027605,12.41226358
219,13.20428294,13.40766025,14.4901321,14.53837505,12.35048523
222,13.14637874,13.35147483,14.44190985,14.48628425,12.35261456
225,13.08484588,13.29267992,14.38858109,14.43464255,12.3037112
228,13.02703241,13.23430063,14.33703987,14.37923293,12.25487102
231,12.96859187,13.18235896,14.29671911,14.33546591,12.26036117
234,12.91297768,13.12312129,14.23760403,14.2801475,12.21814548
237,12.85593809,13.06692127,14.19583363,14.23514181,12.16800603
240,12.79926341,13.01077042,14.14757561,14.18389473,12.15526445
243,12.74279106,12.95573567,14.10039849,14.13766641,12.12885382
246,12.6881439,12.89887076,14.0569439,14.08215211,12.07648853
249,12.63034831,12.84402371,14.0119921,14.03962583,12.064174
252,12.57268968,12.79033262,13.96105906,13.99097756,12.04124028
255,12.5193826,12.73336705,13.91918866,13.94175906,11.98382914
258,12.46645447,12.68641028,13.87152113,13.89194673,11.97564349
261,12.4158252,12.63198903,13.82428095,13.84765931,11.94101058
264,12.36150013,12.57779426,13.78068499,13.800196,11.92357776
267,12.3066632,12.52843577,13.7372491,13.7540881,11.89541578
270,12.25716811,12.47718038,13.69117817,13.70531008,11.87287511
273,12.20426668,12.42638389,13.64461671,13.66078732,11.8269364
276,12.15540562,12.37973352,13.60610536,13.61387419,11.81187975
279,12.10174963,12.32603885,13.56480016,13.57000275,11.78212024
282,12.05962473,12.27639153,13.51935383,13.52550547,11.75240126
285,12.00434122,12.22820226,13.4765941,13.48133958,11.7375967
288,11.95552524,12.17903176,13.43099141,13.43759984,11.71260476
291,11.90893128,12.13085346,13.39351585,13.3913365,11.68632106
294,11.86052412,12.08223238,13.35380529,13.34902483,11.66486376
